,Survived,Pclass,Sex,Fare,Embarked,Title,Alone,Shared Ticket,Age1
176,0,3,0,2,0,1,0,4,0
177,0,1,1,2,1,3,1,1,4
178,0,2,0,1,0,0,1,1,2
179,0,3,0,0,0,0,1,4,3
180,0,3,1,3,0,3,0,7,2
181,0,2,0,2,1,0,1,1,3
182,0,3,0,3,0,1,0,4,0
183,1,2,0,3,0,1,0,2,0
184,1,3,1,2,0,3,0,1,0
185,0,1,0,3,0,0,1,1,3
186,1,3,1,2,2,2,0,2,3
187,1,1,0,2,0,0,1,1,4
188,0,3,0,2,2,0,0,2,3
189,0,3,0,0,0,0,1,1,3
190,1,2,1,1,0,2,1,1,3
191,0,2,0,1,0,0,1,1,1
192,1,3,1,0,0,3,0,1,1
193,1,2,0,2,0,1,0,3,0
194,1,1,1,2,1,2,1,1,4
195,1,1,1,3,1,3,1,2,5
196,0,3,0,0,2,0,1,1,3
197,0,3,0,1,0,0,0,1,4
198,1,3,1,0,2,3,1,1,2
199,0,2,1,1,0,3,1,1,2
200,0,3,0,1,0,0,1,1,2
201,0,3,0,3,0,0,0,7,3
202,0,3,0,0,0,0,1,1,3
203,0,3,0,0,1,0,1,1,4
204,1,3,0,1,0,0,1,1,1
205,0,3,1,1,0,3,0,2,0
206,0,3,0,2,0,0,0,2,3
207,1,3,0,2,1,0,1,2,2
208,1,3,1,0,2,3,1,1,1
209,1,1,0,2,1,0,1,1,3
210,0,3,0,0,0,0,1,1,2
211,1,2,1,2,0,3,1,1,3
212,0,3,0,0,0,0,1,1,2
213,0,2,0,1,0,0,1,1,2
214,0,3,0,0,2,0,0,1,3
215,1,1,1,3,1,3,0,3,3
216,1,3,1,1,0,3,1,1,2
217,0,2,0,2,0,0,0,2,4
218,1,1,1,3,1,3,1,1,3
219,0,2,0,1,0,0,1,1,2
220,1,3,0,1,0,0,1,1,1
221,0,2,0,1,0,0,1,1,2
222,0,3,0,1,0,0,1,1,5
223,0,3,0,0,0,0,1,1,3
224,1,1,0,3,0,0,0,2,3
225,0,3,0,1,0,0,1,1,2
226,1,2,0,1,0,0,1,1,1
227,0,3,0,0,0,0,1,1,2
228,0,2,0,1,0,0,1,1,1
229,0,3,1,2,0,3,0,4,2
230,1,1,1,3,0,2,0,2,3
231,0,3,0,0,0,0,1,1,2
232,0,2,0,1,0,0,1,1,5
233,1,3,1,3,0,3,0,4,0
234,0,2,0,1,0,0,1,1,2
235,0,3,1,0,0,3,1,1,2
236,0,2,0,2,0,0,0,1,4
237,1,2,1,2,0,3,0,3,0
238,0,2,0,1,0,0,1,1,1
239,0,2,0,1,0,0,1,1,3
240,0,3,1,2,1,3,0,2,2
241,1,3,1,2,2,3,0,2,2
242,0,2,0,1,0,0,1,1,2
243,0,3,0,0,0,0,1,1,2
244,0,3,0,0,1,0,1,1,2
245,0,1,0,3,2,4,0,2,4
246,0,3,1,0,0,3,1,1,2
247,1,2,1,2,0,2,0,2,2
248,1,1,0,3,0,0,0,2,3
249,0,2,0,2,0,4,0,2,5
250,0,3,0,0,0,0,1,1,3
251,0,3,1,1,0,2,0,2,2
252,0,1,0,2,0,0,1,1,6
253,0,3,0,2,0,0,0,2,2
254,0,3,1,2,0,2,0,2,4
255,1,3,1,2,1,2,0,1,2
256,1,1,1,3,1,2,1,1,3
257,1,1,1,3,0,3,1,3,2
258,1,1,1,3,1,3,1,3,3
259,1,2,1,2,0,2,0,2,4
260,0,3,0,0,2,0,1,1,3
261,1,3,0,3,0,1,0,4,0
262,0,1,0,3,0,0,0,3,5
263,0,1,0,0,0,0,1,1,3
264,0,3,1,0,2,3,1,1,2
265,0,2,0,1,0,0,1,1,3
266,0,3,0,3,0,0,0,6,1
267,1,3,0,0,0,0,0,1,2
268,1,1,1,3,0,2,0,3,5
269,1,1,1,3,0,3,1,3,3
270,0,1,0,2,0,0,1,2,3
271,1,3,0,0,0,0,1,4,2
272,1,2,1,2,0,2,0,2,4
273,0,1,0,2,1,0,0,1,3
274,1,3,1,0,2,3,1,1,2
275,1,1,1,3,0,3,0,3,6
276,0,3,1,0,0,3,1,1,4
277,0,2,0,0,0,0,1,3,3
278,0,3,0,2,2,1,0,5,0
279,1,3,1,2,0,2,0,2,3
280,0,3,0,0,2,0,1,1,6
281,0,3,0,0,0,0,1,1,2
282,0,3,0,1,0,0,1,1,1
283,1,3,0,1,0,0,1,1,1
284,0,1,0,2,0,0,1,1,3
285,0,3,0,1,1,0,1,1,3
286,1,3,0,1,0,0,1,1,2
287,0,3,0,0,0,0,1,1,2
288,1,2,0,1,0,0,1,1,4
289,1,3,1,0,2,3,1,1,2
290,1,1,1,3,0,3,1,2,2
291,1,1,1,3,1,2,0,2,1
292,0,2,0,1,1,0,1,1,3
293,0,3,1,1,0,3,1,1,2
294,0,3,0,0,0,0,1,1,2
295,0,1,0,2,1,0,1,1,3
296,0,3,0,0,1,0,1,1,2
297,0,1,1,3,0,3,0,4,0
298,1,1,0,2,0,0,1,1,3
299,1,1,1,3,1,2,0,2,4
300,1,3,1,0,2,3,1,1,2
301,1,3,0,2,2,0,0,2,3
302,0,3,0,0,0,0,1,4,1
303,1,2,1,1,2,3,1,1,2
304,0,3,0,1,0,0,1,1,3
305,1,1,0,3,0,1,0,4,0
306,1,1,1,3,1,3,1,4,3
307,1,1,1,3,1,2,0,2,1
308,0,2,0,2,1,0,0,2,2
309,1,1,1,3,1,3,1,2,2
310,1,1,1,3,1,3,1,2,2
311,1,1,1,3,1,3,0,2,1
312,0,2,1,2,0,2,0,1,2
313,0,3,0,0,0,0,1,1,2
314,0,2,0,2,0,0,0,3,4
315,1,3,1,0,0,3,1,1,2
316,1,2,1,2,0,2,0,2,2
317,0,2,0,1,0,4,1,1,5
318,1,1,1,3,0,3,0,2,3
319,1,1,1,3,1,2,0,2,3
320,0,3,0,0,0,0,1,1,2
321,0,3,0,0,0,0,1,1,2
322,1,2,1,1,2,3,1,1,2
323,1,2,1,2,0,2,0,2,2
324,0,3,0,3,0,0,0,7,3
325,1,1,1,3,1,3,1,3,3
326,0,3,0,0,0,0,1,1,6
327,1,2,1,1,0,2,1,1,3
328,1,3,1,2,0,2,0,3,3
329,1,1,1,3,1,3,0,2,1
330,1,3,1,2,2,3,0,2,2
331,0,1,0,2,0,0,1,1,4
332,0,1,0,3,0,0,0,3,3
333,0,3,0,2,0,0,0,2,1
334,1,1,1,3,0,2,0,2,3
335,0,3,0,0,0,0,1,1,3
336,0,1,0,3,0,0,0,2,2
337,1,1,1,3,1,3,1,2,4
338,1,3,0,1,0,0,1,1,4
339,0,1,0,3,0,0,1,1,4
340,1,2,0,2,0,1,0,3,0
341,1,1,1,3,0,3,0,4,2
342,0,2,0,1,0,0,1,1,2
343,0,2,0,1,0,0,1,1,2
344,0,2,0,1,0,0,1,1,3
345,1,2,1,1,0,3,1,1,2
346,1,2,1,1,0,3,1,1,3
347,1,3,1,2,0,2,0,1,3
348,1,3,0,2,0,1,0,2,0
349,0,3,0,1,0,0,1,1,4
350,0,3,0,1,0,0,1,1,2
351,0,1,0,3,0,0,1,1,3
352,0,3,0,0,1,0,0,1,1
353,0,3,0,2,0,0,0,2,2
354,0,3,0,0,1,0,1,1,3
355,0,3,0,1,0,0,1,1,2
356,1,1,1,3,0,3,0,2,2
357,0,2,1,1,0,3,1,1,3
358,1,3,1,0,2,3,1,1,2
359,1,3,1,0,2,3,1,1,2
360,0,3,0,2,0,0,0,6,3
361,0,2,0,2,1,0,0,1,2
362,0,3,1,2,1,2,0,2,4
363,0,3,0,0,0,0,1,1,3
364,0,3,0,2,2,0,0,2,3
365,0,3,0,0,0,0,1,1,2
366,1,1,1,3,1,2,0,1,5
367,1,3,1,0,1,2,1,1,3
368,1,3,1,0,2,3,1,1,2
369,1,1,1,3,1,4,1,2,2
370,1,1,0,3,1,0,0,1,2
371,0,3,0,0,0,0,0,1,1
372,0,3,0,1,0,0,1,1,1
373,0,1,0,3,1,0,1,3,2
374,0,3,1,2,0,3,0,4,0
375,1,1,1,3,1,2,0,2,3
376,1,3,1,0,0,3,1,1,2
377,0,1,0,3,1,0,0,1,2
378,0,3,0,0,1,0,1,1,1
379,0,3,0,0,0,0,1,1,1
380,1,1,1,3,1,3,1,4,4
381,1,3,1,2,1,3,0,2,0
382,0,3,0,1,0,0,1,1,3
383,1,1,1,3,0,2,0,2,3
384,0,3,0,0,0,0,1,1,3
385,0,2,0,3,0,0,1,5,1
386,0,3,0,3,0,1,0,6,0
387,1,2,1,1,0,3,1,1,3
388,0,3,0,0,2,0,1,1,3
389,1,2,1,1,1,3,1,1,1
390,1,1,0,3,0,0,0,4,3
391,1,3,0,0,0,0,1,1,2
392,0,3,0,1,0,0,0,1,2
393,1,1,1,3,1,3,0,3,2
394,1,3,1,2,0,2,0,2,2
395,0,3,0,0,0,0,1,1,2
396,0,3,1,0,0,3,1,1,3
397,0,2,0,2,0,0,1,2,4
398,0,2,0,1,0,4,1,1,2
399,1,2,1,1,0,2,1,1,2
400,1,3,0,1,0,0,1,1,3
401,0,3,0,1,0,0,1,1,2
402,0,3,1,1,0,3,0,1,2
403,0,3,0,2,0,0,0,2,2
404,0,3,1,1,0,3,1,1,1
405,0,2,0,2,0,0,0,1,3
406,0,3,0,0,0,0,1,1,5
407,1,2,0,2,0,1,0,3,0
408,0,3,0,0,0,0,1,1,2
409,0,3,1,2,0,3,0,4,2
410,0,3,0,0,0,0,1,1,3
411,0,3,0,0,2,0,1,1,3
412,1,1,1,3,2,3,0,2,3
413,0,2,0,0,0,0,1,3,3
414,1,3,0,1,0,0,1,1,4
415,0,3,1,1,0,2,1,1,3
416,1,2,1,3,0,2,0,1,3
417,1,2,1,1,0,3,0,1,1
418,0,2,0,1,0,0,1,1,2
419,0,3,1,2,0,3,0,3,0
420,0,3,0,0,1,0,1,1,3
421,0,3,0,0,2,0,1,1,2
422,0,3,0,0,0,0,1,1,2
423,0,3,1,1,0,2,0,2,2
424,0,3,0,2,0,0,0,2,1
425,0,3,0,0,0,0,1,1,3
426,1,2,1,2,0,2,0,1,2
427,1,2,1,2,0,3,1,2,1
428,0,3,0,0,2,0,1,1,3
429,1,3,0,1,0,0,1,1,3
430,1,1,0,2,0,0,1,1,2
431,1,3,1,2,0,2,0,2,3
432,1,2,1,2,0,2,0,1,4
433,0,3,0,0,0,0,1,1,1
434,0,1,0,3,0,0,0,2,4
435,1,1,1,3,0,3,0,4,1
436,0,3,1,3,0,3,0,4,2
437,1,2,1,2,0,2,0,3,2
438,0,1,0,3,0,0,0,4,6
439,0,2,0,1,0,0,1,1,3
440,1,2,1,2,0,2,0,3,4
441,0,3,0,1,0,0,1,1,1
442,0,3,0,0,0,0,0,1,2
443,1,2,1,1,0,3,1,1,2
444,1,3,0,1,0,0,1,1,3
445,1,1,0,3,0,1,0,1,0
446,1,2,1,2,0,3,0,2,1
447,1,1,0,2,0,0,1,1,3
448,1,3,1,2,1,3,0,4,0
449,1,1,0,2,0,4,1,1,5
450,0,2,0,2,0,0,0,3,3
451,0,3,0,2,0,0,0,1,3
452,0,1,0,2,1,0,1,1,2
453,1,1,0,3,1,0,0,2,4
454,0,3,0,1,0,0,1,1,3
455,1,3,0,0,1,0,1,1,2
456,0,1,0,2,0,0,1,1,6
457,1,1,1,3,0,2,0,1,3
458,1,2,1,1,0,3,1,1,4
459,0,3,0,0,2,0,1,1,3
460,1,1,0,2,0,0,1,1,4
461,0,3,0,1,0,0,1,1,3
462,0,1,0,3,0,0,1,1,4
463,0,2,0,1,0,0,1,1,4
464,0,3,0,1,0,0,1,1,3
465,0,3,0,0,0,0,1,1,3
466,0,2,0,0,0,0,1,3,3
467,0,1,0,2,0,0,1,1,5
468,0,3,0,0,2,0,1,1,3
469,1,3,1,2,1,3,0,4,0
470,0,3,0,0,0,0,1,1,3
471,0,3,0,1,0,0,1,1,3
472,1,2,1,2,0,2,0,3,3
473,1,2,1,1,1,2,1,1,2
474,0,3,1,1,0,3,1,1,2
475,0,1,0,3,0,0,1,2,3
476,0,2,0,2,0,0,0,2,3
477,0,3,0,0,0,0,0,1,2
478,0,3,0,0,0,0,1,1,2
479,1,3,1,1,0,3,0,1,0
480,0,3,0,3,0,1,0,6,0
481,0,2,0,0,0,0,1,1,3
482,0,3,0,1,0,0,1,1,4
483,1,3,1,1,0,2,1,1,6
484,1,1,0,3,1,0,0,2,2
485,0,3,1,2,0,3,0,4,2
486,1,1,1,3,0,2,0,2,3
487,0,1,0,2,1,0,1,1,5
488,0,3,0,1,0,0,1,1,2
489,1,3,0,2,0,1,0,2,0
490,0,3,0,2,0,0,0,1,3
491,0,3,0,0,0,0,1,1,2
492,0,1,0,2,0,0,1,1,5
493,0,1,0,3,1,0,1,1,7
494,0,3,0,1,0,0,1,1,2
495,0,3,0,2,1,0,1,2,3
496,1,1,1,3,1,3,0,2,5
497,0,3,0,2,0,0,1,1,3
498,0,1,1,3,0,2,0,4,2
499,0,3,0,0,0,0,1,1,2
500,0,3,0,1,0,0,1,1,1
501,0,3,1,0,2,3,1,1,2
502,0,3,1,0,2,3,1,1,2
503,0,3,1,1,0,3,1,1,3
504,1,1,1,3,0,3,1,3,1
505,0,1,0,3,1,0,0,2,1
506,1,2,1,2,0,2,0,2,3
507,1,1,0,2,0,0,1,1,3
508,0,3,0,2,0,0,1,1,2
509,1,3,0,3,0,0,1,7,2
510,1,3,0,0,2,0,1,1,2
511,0,3,0,1,0,0,1,1,3
512,1,1,0,2,0,0,1,1,3
513,1,1,1,3,1,2,0,1,5
514,0,3,0,0,0,0,1,1,2
515,0,1,0,3,0,0,1,1,4
516,1,2,1,1,0,2,1,1,3
517,0,3,0,2,2,0,1,3,3
518,1,2,1,2,0,2,0,1,3
519,0,3,0,0,0,0,1,1,3
520,1,1,1,3,0,3,1,2,2
521,0,3,0,0,0,0,1,1,2
522,0,3,0,0,1,0,1,1,3
523,1,1,1,3,1,2,0,2,4
524,0,3,0,0,1,0,1,1,3
525,0,3,0,0,2,0,1,1,4
526,1,2,1,1,0,3,1,1,4
527,0,1,0,3,0,0,1,1,3
528,0,3,0,1,0,0,1,1,3
529,0,2,0,1,0,0,0,1,2
530,1,2,1,2,0,3,0,2,0
531,0,3,0,0,1,0,1,1,3
532,0,3,0,0,1,0,0,1,1
533,1,3,1,2,1,2,0,2,3
534,0,3,1,1,0,3,1,1,2
535,1,2,1,2,0,3,0,3,0
536,0,1,0,2,0,4,1,1,4
537,1,1,1,3,1,3,1,2,2
538,0,3,0,2,0,0,1,1,3
539,1,1,1,3,1,3,0,1,2
540,1,1,1,3,0,3,0,2,3
541,0,3,1,3,0,3,0,7,0
542,0,3,1,3,0,3,0,7,1
543,1,2,0,2,0,0,0,2,3
544,0,1,0,3,1,0,0,2,4
545,0,1,0,2,0,0,1,1,6
546,1,2,1,2,0,2,0,2,1
547,1,2,0,1,1,0,1,1,3
548,0,3,0,2,0,0,0,3,3
549,1,2,0,3,0,1,0,2,0
550,1,1,0,3,1,0,0,4,1
551,0,2,0,2,0,0,1,1,2
552,0,3,0,0,2,0,1,1,3
553,1,3,0,0,1,0,1,1,2
554,1,3,1,0,0,3,1,1,2
555,0,1,0,2,0,0,1,1,6
556,1,1,1,3,1,3,0,1,4
557,0,1,0,3,1,0,1,4,3
558,1,1,1,3,0,2,0,3,3
559,1,3,1,2,0,2,0,1,3
560,0,3,0,0,2,0,1,1,3
561,0,3,0,0,0,0,1,1,3
562,0,2,0,1,0,0,1,1,2
563,0,3,0,1,0,0,1,1,3
564,0,3,1,1,0,3,1,1,2
565,0,3,0,2,0,0,0,2,2
566,0,3,0,0,0,0,1,1,1
567,0,3,1,2,0,2,0,4,2
568,0,3,0,0,1,0,1,1,3
569,1,3,0,0,0,0,1,1,3
570,1,2,0,1,0,0,1,1,6
571,1,1,1,3,0,2,0,1,5
572,1,1,0,2,0,0,1,1,3
573,1,3,1,0,2,3,1,1,2
574,0,3,0,1,0,0,1,1,1
575,0,3,0,2,0,0,1,2,1
576,1,2,1,1,0,3,1,1,3
577,1,1,1,3,0,2,0,2,3
578,0,3,1,2,1,2,0,1,3
579,1,3,0,1,0,0,1,1,3
580,1,2,1,2,0,3,0,1,2
581,1,1,1,3,1,2,0,4,3
582,0,2,0,2,0,0,1,2,5
583,0,1,0,3,1,0,1,1,3
584,0,3,0,1,1,0,1,1,3
585,1,1,1,3,0,3,0,3,1
586,0,2,0,2,0,0,1,1,4
587,1,1,0,3,1,0,0,1,5
588,0,3,0,1,0,0,1,1,2
589,0,3,0,1,0,0,1,1,3
590,0,3,0,0,0,0,1,1,3
591,1,1,1,3,1,2,0,2,5
592,0,3,0,0,0,0,1,1,4
593,0,3,1,0,2,3,0,1,2
594,0,2,0,2,0,0,0,1,3
595,0,3,0,2,0,0,0,3,3
596,1,2,1,3,0,3,1,3,3
597,0,3,0,0,0,0,1,4,4
598,0,3,0,0,1,0,1,1,3
599,1,1,0,3,1,0,0,2,4
600,1,2,1,2,0,2,0,2,2
601,0,3,0,0,0,0,1,1,3
602,0,1,0,3,0,0,1,1,3
603,0,3,0,1,0,0,1,1,4
604,1,1,0,2,1,0,1,1,3
605,0,3,0,2,0,0,0,1,3
606,0,3,0,0,0,0,1,1,2
607,1,1,0,2,0,0,1,1,2
608,1,2,1,3,1,2,0,3,2
609,1,1,1,3,0,3,1,3,3
610,0,3,1,3,0,2,0,7,3
611,0,3,0,0,0,0,1,1,3
612,1,3,1,2,2,3,0,2,2
613,0,3,0,0,2,0,1,1,3
614,0,3,0,1,0,0,1,1,3
615,1,2,1,3,0,3,0,2,2
616,0,3,0,1,0,0,0,2,3
617,0,3,1,2,0,2,0,2,2
618,1,2,1,3,0,3,0,2,0
619,0,2,0,1,0,0,1,1,2
620,0,3,0,2,1,0,0,2,2
621,1,1,0,3,0,0,0,1,4
622,1,3,0,2,1,0,0,2,1
623,0,3,0,0,0,0,1,1,2
624,0,3,0,2,0,0,1,2,2
625,0,1,0,3,0,0,1,1,6
626,0,2,0,1,2,4,1,1,5
627,1,1,1,3,0,3,1,3,2
628,0,3,0,0,0,0,1,1,2
629,0,3,0,0,2,0,1,1,3
630,1,1,0,2,0,0,1,1,7
631,0,3,0,0,0,0,1,1,5
632,1,1,0,2,1,4,1,1,3
633,0,1,0,0,0,0,1,1,3
634,0,3,1,2,0,3,0,6,0
635,1,2,1,1,0,3,1,1,2
636,0,3,0,1,0,0,1,1,3
637,0,2,0,2,0,0,0,3,3
638,0,3,1,3,0,2,0,6,4
639,0,3,0,2,0,0,0,2,3
640,0,3,0,0,0,0,1,1,1
641,1,1,1,3,1,4,1,2,2
642,0,3,1,2,0,3,0,6,0
643,1,3,0,3,0,0,1,7,3
644,1,3,1,2,1,3,0,4,0
645,1,1,0,3,1,0,0,3,4
646,0,3,0,0,0,0,1,1,1
647,1,1,0,3,1,0,1,1,5
648,0,3,0,0,0,0,1,1,3
649,1,3,1,0,0,3,1,1,2
650,0,3,0,0,0,0,1,1,3
651,1,2,1,2,0,3,0,2,1
652,0,3,0,1,0,0,1,1,2
653,1,3,1,0,2,3,1,1,2
654,0,3,1,0,2,3,1,1,1
655,0,2,0,3,0,0,0,5,2
656,0,3,0,0,0,0,1,1,3
657,0,3,1,2,2,2,0,2,3
658,0,2,0,1,0,0,1,1,2
659,0,1,0,3,1,0,0,3,5
660,1,1,0,3,0,4,0,2,4
661,0,3,0,0,1,0,1,1,3
662,0,1,0,2,0,0,1,1,4
663,0,3,0,0,0,0,1,1,3
664,1,3,0,1,0,0,0,1,1
665,0,2,0,3,0,0,0,5,3
666,0,2,0,1,0,0,1,1,2
667,0,3,0,0,0,0,1,1,3
668,0,3,0,1,0,0,1,1,4
669,1,1,1,3,0,2,0,2,3
670,1,2,1,3,0,2,0,2,3
671,0,1,0,3,0,0,0,1,3
672,0,2,0,1,0,0,1,1,6
673,1,2,0,1,0,0,1,1,3
674,0,2,0,0,0,0,1,1,3
675,0,3,0,0,0,0,1,1,1
676,0,3,0,1,0,0,1,1,2
677,1,3,1,1,0,3,1,1,1
678,0,3,1,3,0,2,0,6,4
679,1,1,0,3,1,0,0,3,3
680,0,3,1,1,2,3,1,1,2
681,1,1,0,3,1,0,1,3,2
682,0,3,0,1,0,0,1,1,1
683,0,3,0,3,0,0,0,6,1
684,0,2,0,3,0,0,0,2,5
685,0,2,0,3,1,0,0,3,2
686,0,3,0,3,0,0,0,6,1
687,0,3,0,1,0,0,1,1,1
688,0,3,0,0,0,0,1,1,1
689,1,1,1,3,0,3,0,3,1
690,1,1,0,3,0,0,0,2,3
691,1,3,1,1,1,3,0,1,0
692,1,3,0,3,0,0,1,7,3
693,0,3,0,0,1,0,1,1,2
694,0,1,0,2,0,0,1,1,5
